lat,lon
49.28424869,-123.1221121
49.28254068,-123.1258531
49.27657191,-123.1343583
49.27657191,-123.1343583
49.27657191,-123.1343583
49.27657191,-123.1343583
49.28492908,-123.1345372
49.28535606,-123.1338937
49.28532456,-123.1337647
49.27933541,-123.1316686
49.28028542,-123.1274579
49.28837952,-123.116619
49.28821465,-123.1157004
49.27983363,-123.1304478
49.27977236,-123.1301731
49.27955647,-123.1298373
49.27955647,-123.1298373
49.27942584,-123.1298135
49.27953248,-123.1298
49.28865212,-123.1398172
49.28891808,-123.139234
49.29006868,-123.1407762
49.27602529,-123.1208314
49.27648382,-123.1201451
49.27650293,-123.1201165
49.27850159,-123.13269
49.27650868,-123.1214366
49.27650868,-123.1214366
49.27732385,-123.1202178
49.27732385,-123.1202178
49.27732385,-123.1202178
49.27924183,-123.124947
49.28594779,-123.1351469
49.27780565,-123.121261
49.28444179,-123.1245142
49.28422403,-123.1241762
49.28422403,-123.1241762
49.27830316,-123.1223705
49.28307181,-123.1252625
49.28529066,-123.1225512
49.28515605,-123.1221638
49.28515605,-123.1221638
49.28515605,-123.1221638
49.28515605,-123.1221638
49.28480782,-123.1218036
49.28454225,-123.1213924
49.28454225,-123.1213924
49.28454225,-123.1213924
49.2876357,-123.1184494
49.2876357,-123.1184494
49.2876357,-123.1184494
49.28746072,-123.1201777
49.28746072,-123.1201777
49.28580199,-123.1245113
49.28359901,-123.1276049
49.27946319,-123.1285163
49.28265908,-123.1305122
49.28121002,-123.1325442
49.28121002,-123.1325442
49.28835777,-123.1402595
49.27787045,-123.1251961
49.27802425,-123.124963
49.28496434,-123.1274218
49.27799868,-123.1268109
49.27799868,-123.1268109
49.27799868,-123.1268109
49.27799868,-123.1268109
49.27799868,-123.1268109
49.27866956,-123.125802
49.28321073,-123.1342484
49.28381288,-123.1333236
49.28765448,-123.123964
49.28734772,-123.1234777
49.28734772,-123.1234777
49.28650412,-123.1221405
49.28276919,-123.1283875
49.27601094,-123.1239867
49.27668658,-123.1229625
49.28550469,-123.1261495
49.28550469,-123.1261495
49.28550469,-123.1261495
49.28537852,-123.1259557
49.28463888,-123.1249981
49.28463888,-123.1249981
49.28469717,-123.1249094
49.28868737,-123.1199244
49.28595329,-123.1233998
49.28595329,-123.1233998
49.28862001,-123.1219725
49.28835874,-123.1232112
49.28835874,-123.1232112
49.28835874,-123.1232112
49.28781875,-123.1216923
49.28608557,-123.1403816
49.27810702,-123.1305891
49.27842359,-123.1301008
49.27842359,-123.1301008
49.27865173,-123.1297497
49.27865173,-123.1297497
49.27867074,-123.1297204
49.28176035,-123.1335088
49.28497307,-123.1391463
49.28367661,-123.1320799
49.28367661,-123.1320799
49.28367661,-123.1320799
49.28275287,-123.1347366
49.28568663,-123.1285242
49.28628043,-123.1273407
49.28894863,-123.1251533
49.28843547,-123.1234673
49.28843547,-123.1234673
49.28843547,-123.1234673
49.28273938,-123.1376621
49.27761126,-123.1313473
49.27765856,-123.1312752
49.27778273,-123.1310857
49.27778273,-123.1310857
49.27794828,-123.1308331
49.27701579,-123.1303361
49.28092219,-123.1376537
49.28726194,-123.1288482
49.28832596,-123.1272582
49.28940095,-123.1270237
49.28694603,-123.1327968
49.28371954,-123.1364062
49.28298319,-123.1396153
49.28609267,-123.1335039
49.28477467,-123.1357128
49.28792664,-123.1300503
49.28937301,-123.1288689
49.28937301,-123.1288689
49.28937301,-123.1288689
49.28945946,-123.1288228
49.28917334,-123.1283901
49.29005354,-123.1289147
49.29005354,-123.1289147
49.28762649,-123.1338472
49.2911674,-123.1276508
49.28328782,-123.1400909
49.2868491,-123.1346848
49.28516339,-123.1364836
49.28516339,-123.1364836
49.28879502,-123.1314132
49.288895,-123.1313887
49.288895,-123.1313887
49.27831547,-123.1183583
49.29058573,-123.1286582
49.29063373,-123.1320793
49.29054022,-123.1319346
49.2903158,-123.1315874
49.2903158,-123.1315874
49.28710326,-123.1372121
49.28710326,-123.1372121
49.28934813,-123.1341539
49.2881752,-123.1369125
49.28773797,-123.1362369
49.29023191,-123.1336094
