lat,lon,TYPE
49.28917321,-123.1283901,Break and Enter Commercia
49.29005342,-123.1289147,Break and Enter Commercia
49.29005342,-123.1289147,Break and Enter Commercia
49.28762637,-123.1338472,Break and Enter Commercia
49.29116727,-123.1276508,Break and Enter Commercia
49.28328769,-123.1400909,Break and Enter Commercia
49.28684898,-123.1346848,Break and Enter Commercia
49.28516327,-123.1364836,Break and Enter Commercia
49.28516327,-123.1364836,Break and Enter Commercia
49.28879489,-123.1314132,Break and Enter Commercia
49.28889487,-123.1313887,Break and Enter Commercia
49.28889487,-123.1313887,Break and Enter Commercia
49.27831534,-123.1183583,Break and Enter Residenti
49.2905856,-123.1286582,Break and Enter Commercia
49.2906336,-123.1320793,Break and Enter Commercia
49.29054009,-123.1319346,Break and Enter Commercia
49.29031567,-123.1315874,Break and Enter Commercia
49.29031567,-123.1315874,Break and Enter Commercia
49.28710313,-123.1372121,Break and Enter Commercia
49.28710313,-123.1372121,Break and Enter Commercia
49.28934801,-123.1341539,Break and Enter Commercia
49.28817508,-123.1369125,Break and Enter Commercia
49.28773784,-123.1362369,Break and Enter Commercia
49.29023178,-123.1336094,Break and Enter Commercia
49.29007732,-123.1333746,Break and Enter Commercia
49.29230536,-123.1318087,Break and Enter Commercia
49.28674875,-123.1423201,Break and Enter Commercia
49.28834254,-123.1392869,Break and Enter Commercia
49.28715346,-123.1415531,Break and Enter Commercia
49.28683238,-123.1410579,Break and Enter Commercia
49.2865113,-123.1405627,Break and Enter Commercia
49.29034614,-123.1357566,Break and Enter Commercia
49.28771568,-123.1403055,Break and Enter Commercia
49.29136537,-123.135206,Break and Enter Commercia
49.29127248,-123.1350594,Break and Enter Commercia
49.29307446,-123.1357023,Break and Enter Commercia
49.29098098,-123.1369294,Break and Enter Commercia
49.29098098,-123.1369294,Break and Enter Commercia
49.29012364,-123.1396965,Break and Enter Commercia
49.28982494,-123.1394066,Break and Enter Commercia
49.29223461,-123.1365637,Break and Enter Commercia
49.29174117,-123.1357946,Break and Enter Commercia
49.29174117,-123.1357946,Break and Enter Commercia
49.29155046,-123.1397598,Break and Enter Commercia
49.29151762,-123.1397094,Break and Enter Commercia
49.29137721,-123.1396718,Break and Enter Commercia
49.29012211,-123.1420285,Break and Enter Commercia
49.29247967,-123.1392362,Break and Enter Commercia
49.2920557,-123.1384051,Break and Enter Commercia
49.29258328,-123.137097,Break and Enter Commercia
49.2919303,-123.1426679,Theft of Vehicle
49.27896068,-123.1125807,Break and Enter Commercia
49.292439,-123.1410643,Break and Enter Commercia
49.29093276,-123.1432736,Break and Enter Commercia
49.29278891,-123.1397176,Break and Enter Commercia
49.29280933,-123.1395692,Break and Enter Commercia
49.29180623,-123.1424777,Break and Enter Commercia
49.29258328,-123.137097,Theft of Vehicle
49.29258328,-123.137097,Theft of Vehicle
49.2920557,-123.1384051,Theft of Vehicle
49.29222796,-123.1386703,Theft of Vehicle
49.28957395,-123.1246015,Break and Enter Residenti
49.27994321,-123.1177019,Break and Enter Residenti
49.27972139,-123.117178,Break and Enter Residenti
49.29109813,-123.1392427,Theft of Vehicle
49.28805782,-123.1154753,Break and Enter Commercia
49.28916398,-123.1405412,Theft of Vehicle
49.28627861,-123.112296,Break and Enter Commercia
49.28627861,-123.112296,Break and Enter Commercia
49.28627861,-123.112296,Break and Enter Commercia
49.27736005,-123.1167861,Break and Enter Commercia
49.29048883,-123.1340032,Theft of Vehicle
49.28900988,-123.1379808,Theft of Vehicle
49.29152613,-123.1320838,Theft of Vehicle
49.28742583,-123.1166562,Break and Enter Commercia
49.28773784,-123.1362369,Theft of Vehicle
49.28433759,-123.1415457,Theft of Vehicle
49.28433759,-123.1415457,Theft of Vehicle
49.28646626,-123.1141775,Break and Enter Commercia
49.28925308,-123.1341888,Theft of Vehicle
49.27895987,-123.1162152,Break and Enter Commercia
49.27994057,-123.1143485,Break and Enter Commercia
49.2851348,-123.1406508,Theft of Vehicle
49.2831264,-123.1419081,Theft of Vehicle
49.2831264,-123.1419081,Theft of Vehicle
49.28236919,-123.1145468,Break and Enter Residenti
49.28236919,-123.1145468,Break and Enter Residenti
49.28711408,-123.1169616,Break and Enter Commercia
49.28184605,-123.1135699,Break and Enter Commercia
49.28184605,-123.1135699,Break and Enter Commercia
49.28655679,-123.1344121,Theft of Vehicle
49.28652975,-123.115853,Break and Enter Commercia
49.28652975,-123.115853,Break and Enter Commercia
49.28549353,-123.1156236,Break and Enter Commercia
49.28564651,-123.1154057,Break and Enter Commercia
49.28305738,-123.1397309,Theft of Vehicle
49.28266078,-123.1140989,Break and Enter Residenti
49.28316166,-123.1131623,Break and Enter Residenti
49.28316166,-123.1131623,Break and Enter Residenti
49.28316166,-123.1131623,Break and Enter Residenti
49.27929508,-123.1197735,Break and Enter Residenti
49.28000184,-123.1176137,Break and Enter Commercia
49.27963939,-123.1172299,Break and Enter Commercia
49.27972139,-123.117178,Break and Enter Commercia
49.27959265,-123.1171572,Break and Enter Commercia
49.27959265,-123.1171572,Break and Enter Commercia
49.28437894,-123.1131995,Break and Enter Commercia
49.28107011,-123.1158806,Break and Enter Commercia
49.28571354,-123.1193051,Break and Enter Commercia
49.2864855,-123.1180907,Break and Enter Commercia
49.2864855,-123.1180907,Break and Enter Commercia
49.28650305,-123.1180631,Break and Enter Commercia
49.28650305,-123.1180631,Break and Enter Commercia
49.28650305,-123.1180631,Break and Enter Commercia
49.28798251,-123.123901,Break and Enter Commercia
49.29151258,-123.1292446,Break and Enter Commercia
49.28275444,-123.1151347,Break and Enter Commercia
49.28275444,-123.1151347,Break and Enter Commercia
49.28298307,-123.1396153,Theft of Vehicle
49.28298307,-123.1396153,Theft of Vehicle
49.28382358,-123.1160107,Break and Enter Commercia
49.28382358,-123.1160107,Break and Enter Commercia
49.28501438,-123.1182624,Break and Enter Commercia
49.28503236,-123.1180625,Break and Enter Commercia
49.28555538,-123.1173005,Break and Enter Commercia
49.28566746,-123.1171372,Break and Enter Commercia
49.28481488,-123.1166386,Break and Enter Commercia
49.28516466,-123.116106,Break and Enter Commercia
49.29104572,-123.1275009,Break and Enter Commercia
49.28306543,-123.1134853,Break and Enter Commercia
49.28325813,-123.1131931,Break and Enter Commercia
49.28336847,-123.114727,Break and Enter Commercia
49.28346356,-123.1145831,Break and Enter Commercia
49.28376865,-123.1142984,Break and Enter Commercia
49.27929508,-123.1197735,Break and Enter Commercia
49.27929508,-123.1197735,Break and Enter Commercia
49.27929508,-123.1197735,Break and Enter Commercia
49.28708,-123.1211441,Break and Enter Commercia
49.28395079,-123.1367738,Theft of Vehicle
49.28527007,-123.1345631,Theft of Vehicle
49.28127298,-123.1161945,Break and Enter Commercia
49.28127298,-123.1161945,Break and Enter Commercia
49.28318901,-123.1376223,Theft of Vehicle
49.29232469,-123.1342807,Break and Enter Commercia
49.29234083,-123.1342553,Break and Enter Commercia
49.28276098,-123.1176182,Break and Enter Commercia
49.28280344,-123.117554,Break and Enter Commercia
49.28378576,-123.1182244,Break and Enter Commercia
49.28378576,-123.1182244,Break and Enter Commercia
49.28378576,-123.1182244,Break and Enter Commercia
49.28378576,-123.1182244,Break and Enter Commercia
49.28139432,-123.1371552,Theft of Vehicle
