lat,lon,TYPE,YEAR,MONTH,DAY,HOUR,date,elev
49.28276906,-123.1283875,Break and Enter Commercia,2012,11,17,5,2012-11-17,0
49.27601081,-123.1239867,Break and Enter Commercia,2012,5,9,12,2012-05-09,0
49.27668645,-123.1229625,Break and Enter Commercia,2012,1,17,5,2012-01-17,0
49.28550456,-123.1261495,Break and Enter Commercia,2012,1,8,6,2012-01-08,0
49.28550456,-123.1261495,Break and Enter Commercia,2012,2,18,1,2012-02-18,0
49.28550456,-123.1261495,Break and Enter Commercia,2012,3,16,3,2012-03-16,0
49.28537839,-123.1259557,Break and Enter Commercia,2012,9,25,15,2012-09-25,0
49.28463875,-123.1249981,Break and Enter Commercia,2012,6,11,18,2012-06-11,0
49.28463875,-123.1249981,Break and Enter Commercia,2012,6,12,4,2012-06-12,0
49.28469704,-123.1249094,Break and Enter Commercia,2012,2,4,4,2012-02-04,0
49.28868724,-123.1199244,Break and Enter Commercia,2012,12,28,2,2012-12-28,0
49.28595316,-123.1233998,Break and Enter Commercia,2012,7,5,10,2012-07-05,0
49.28595316,-123.1233998,Break and Enter Commercia,2012,7,10,15,2012-07-10,0
49.28861989,-123.1219725,Break and Enter Commercia,2012,6,21,15,2012-06-21,0
49.28835861,-123.1232112,Break and Enter Commercia,2012,6,12,1,2012-06-12,0
49.28835861,-123.1232112,Break and Enter Commercia,2012,6,30,6,2012-06-30,0
49.28835861,-123.1232112,Break and Enter Commercia,2012,6,30,12,2012-06-30,0
49.28781863,-123.1216923,Break and Enter Commercia,2012,1,13,20,2012-01-13,0
49.28608545,-123.1403816,Break and Enter Commercia,2012,4,14,11,2012-04-14,0
49.27810689,-123.1305891,Break and Enter Commercia,2012,3,29,3,2012-03-29,0
49.27842346,-123.1301008,Break and Enter Commercia,2012,3,18,7,2012-03-18,0
49.27842346,-123.1301008,Break and Enter Commercia,2012,3,19,4,2012-03-19,0
49.2786516,-123.1297497,Break and Enter Commercia,2012,10,1,17,2012-10-01,0
49.2786516,-123.1297497,Break and Enter Commercia,2012,10,30,23,2012-10-30,0
49.27867061,-123.1297204,Break and Enter Commercia,2012,3,18,7,2012-03-18,0
49.28176022,-123.1335088,Break and Enter Commercia,2012,2,12,9,2012-02-12,0
49.28497294,-123.1391463,Break and Enter Commercia,2012,3,20,22,2012-03-20,0
49.28367648,-123.1320799,Break and Enter Commercia,2012,4,11,0,2012-04-11,0
49.28367648,-123.1320799,Break and Enter Commercia,2012,6,3,9,2012-06-03,0
49.28367648,-123.1320799,Break and Enter Commercia,2012,8,8,15,2012-08-08,0
49.28275274,-123.1347366,Break and Enter Commercia,2012,7,18,4,2012-07-18,0
49.2856865,-123.1285242,Break and Enter Commercia,2012,3,23,17,2012-03-23,0
49.28628031,-123.1273407,Break and Enter Commercia,2012,11,24,22,2012-11-24,0
49.2889485,-123.1251533,Break and Enter Commercia,2012,11,2,17,2012-11-02,0
49.28843535,-123.1234673,Break and Enter Commercia,2012,10,27,0,2012-10-27,0
49.28843535,-123.1234673,Break and Enter Commercia,2012,10,27,5,2012-10-27,0
49.28843535,-123.1234673,Break and Enter Commercia,2012,10,28,6,2012-10-28,0
49.28273925,-123.1376621,Break and Enter Commercia,2012,12,17,15,2012-12-17,0
49.27761113,-123.1313473,Break and Enter Commercia,2012,1,27,2,2012-01-27,0
49.27765844,-123.1312752,Break and Enter Commercia,2012,6,3,8,2012-06-03,0
49.2777826,-123.1310857,Break and Enter Commercia,2012,8,17,12,2012-08-17,0
49.2777826,-123.1310857,Break and Enter Commercia,2012,10,11,5,2012-10-11,0
49.27794816,-123.1308331,Break and Enter Commercia,2012,4,20,3,2012-04-20,0
49.27701566,-123.1303361,Break and Enter Commercia,2012,6,16,0,2012-06-16,0
49.28092206,-123.1376537,Break and Enter Commercia,2012,9,6,20,2012-09-06,0
49.28726182,-123.1288482,Break and Enter Commercia,2012,4,9,0,2012-04-09,0
49.28832583,-123.1272582,Break and Enter Commercia,2012,3,20,4,2012-03-20,0
49.28940082,-123.1270237,Break and Enter Commercia,2012,3,17,3,2012-03-17,0
49.28694591,-123.1327968,Break and Enter Commercia,2012,1,22,4,2012-01-22,0
49.28371941,-123.1364062,Break and Enter Commercia,2012,8,8,1,2012-08-08,0
49.28298307,-123.1396153,Break and Enter Commercia,2012,3,1,2,2012-03-01,0
49.28609255,-123.1335039,Break and Enter Commercia,2012,9,14,3,2012-09-14,0
49.28477454,-123.1357128,Break and Enter Commercia,2012,4,15,3,2012-04-15,0
49.28792651,-123.1300503,Break and Enter Commercia,2012,11,5,2,2012-11-05,0
49.28937288,-123.1288689,Break and Enter Commercia,2012,1,18,1,2012-01-18,0
49.28937288,-123.1288689,Break and Enter Commercia,2012,2,19,13,2012-02-19,0
49.28937288,-123.1288689,Break and Enter Commercia,2012,3,10,3,2012-03-10,0
49.28945934,-123.1288228,Break and Enter Commercia,2012,12,13,8,2012-12-13,0
49.28917321,-123.1283901,Break and Enter Commercia,2012,8,16,23,2012-08-16,0
49.29005342,-123.1289147,Break and Enter Commercia,2012,10,21,2,2012-10-21,0
49.29005342,-123.1289147,Break and Enter Commercia,2012,11,14,23,2012-11-14,0
49.28762637,-123.1338472,Break and Enter Commercia,2012,1,8,5,2012-01-08,0
49.29116727,-123.1276508,Break and Enter Commercia,2012,4,6,7,2012-04-06,0
49.28328769,-123.1400909,Break and Enter Commercia,2012,5,18,17,2012-05-18,0
49.28684898,-123.1346848,Break and Enter Commercia,2012,10,25,9,2012-10-25,0
